Fecha;Franja_horaria;Servicio;Cantidad_de_personas
2/9/2025;05:30;RETENCION CABLE;0
2/9/2025;06:00;RETENCION CABLE;0
2/9/2025;06:30;RETENCION CABLE;0
2/9/2025;07:00;RETENCION CABLE;0
2/9/2025;07:30;RETENCION CABLE;0
2/9/2025;08:00;RETENCION CABLE;9
2/9/2025;08:30;RETENCION CABLE;17
2/9/2025;09:00;RETENCION CABLE;12
2/9/2025;09:30;RETENCION CABLE;12
2/9/2025;10:00;RETENCION CABLE;12
2/9/2025;10:30;RETENCION CABLE;12
2/9/2025;11:00;RETENCION CABLE;12
2/9/2025;11:30;RETENCION CABLE;12
2/9/2025;12:00;RETENCION CABLE;12
2/9/2025;12:30;RETENCION CABLE;12
2/9/2025;13:00;RETENCION CABLE;12
2/9/2025;13:30;RETENCION CABLE;12
2/9/2025;14:00;RETENCION CABLE;5
2/9/2025;14:30;RETENCION CABLE;5
2/9/2025;15:00;RETENCION CABLE;5
2/9/2025;15:30;RETENCION CABLE;5
2/9/2025;16:00;RETENCION CABLE;4
2/9/2025;16:30;RETENCION CABLE;4
2/9/2025;17:00;RETENCION CABLE;4
2/9/2025;17:30;RETENCION CABLE;4
2/9/2025;18:00;RETENCION CABLE;4
2/9/2025;18:30;RETENCION CABLE;4
2/9/2025;19:00;RETENCION CABLE;4
2/9/2025;19:30;RETENCION CABLE;4
2/9/2025;20:00;RETENCION CABLE;5
2/9/2025;20:30;RETENCION CABLE;4
2/9/2025;21:00;RETENCION CABLE;16
2/9/2025;21:30;RETENCION CABLE;16
2/9/2025;22:00;RETENCION CABLE;0
2/9/2025;22:30;RETENCION CABLE;0
2/9/2025;23:00;RETENCION CABLE;0
2/9/2025;23:30;RETENCION CABLE;0
3/9/2025;00:00;RETENCION CABLE;0
3/9/2025;00:30;RETENCION CABLE;0
3/9/2025;01:00;RETENCION CABLE;0
3/9/2025;01:30;RETENCION CABLE;0
3/9/2025;02:00;RETENCION CABLE;0
3/9/2025;02:30;RETENCION CABLE;0
3/9/2025;03:00;RETENCION CABLE;0
3/9/2025;03:30;RETENCION CABLE;0
3/9/2025;04:00;RETENCION CABLE;0
3/9/2025;04:30;RETENCION CABLE;0
3/9/2025;05:00;RETENCION CABLE;0
3/9/2025;05:30;RETENCION CABLE;0
3/9/2025;06:00;RETENCION CABLE;0
3/9/2025;06:30;RETENCION CABLE;0
3/9/2025;07:00;RETENCION CABLE;0
3/9/2025;07:30;RETENCION CABLE;0
3/9/2025;08:00;RETENCION CABLE;9
3/9/2025;08:30;RETENCION CABLE;18
3/9/2025;09:00;RETENCION CABLE;10
3/9/2025;09:30;RETENCION CABLE;11
3/9/2025;10:00;RETENCION CABLE;11
3/9/2025;10:30;RETENCION CABLE;11
3/9/2025;11:00;RETENCION CABLE;11
3/9/2025;11:30;RETENCION CABLE;11
3/9/2025;12:00;RETENCION CABLE;11
3/9/2025;12:30;RETENCION CABLE;11
3/9/2025;13:00;RETENCION CABLE;11
3/9/2025;13:30;RETENCION CABLE;11
3/9/2025;14:00;RETENCION CABLE;6
3/9/2025;14:30;RETENCION CABLE;8
3/9/2025;15:00;RETENCION CABLE;2
3/9/2025;15:30;RETENCION CABLE;3
3/9/2025;16:00;RETENCION CABLE;5
3/9/2025;16:30;RETENCION CABLE;5
3/9/2025;17:00;RETENCION CABLE;5
3/9/2025;17:30;RETENCION CABLE;5
3/9/2025;18:00;RETENCION CABLE;5
3/9/2025;18:30;RETENCION CABLE;5
3/9/2025;19:00;RETENCION CABLE;5
3/9/2025;19:30;RETENCION CABLE;5
3/9/2025;20:00;RETENCION CABLE;6
3/9/2025;20:30;RETENCION CABLE;5
3/9/2025;21:00;RETENCION CABLE;17
3/9/2025;21:30;RETENCION CABLE;17
3/9/2025;22:00;RETENCION CABLE;0
3/9/2025;22:30;RETENCION CABLE;0
3/9/2025;23:00;RETENCION CABLE;0
3/9/2025;23:30;RETENCION CABLE;0
4/9/2025;00:00;RETENCION CABLE;0
4/9/2025;00:30;RETENCION CABLE;0
4/9/2025;01:00;RETENCION CABLE;0
4/9/2025;01:30;RETENCION CABLE;0
4/9/2025;02:00;RETENCION CABLE;0
4/9/2025;02:30;RETENCION CABLE;0
4/9/2025;03:00;RETENCION CABLE;0
4/9/2025;03:30;RETENCION CABLE;0
4/9/2025;04:00;RETENCION CABLE;0
4/9/2025;04:30;RETENCION CABLE;0
4/9/2025;05:00;RETENCION CABLE;0
4/9/2025;05:30;RETENCION CABLE;0
4/9/2025;06:00;RETENCION CABLE;0
4/9/2025;06:30;RETENCION CABLE;0
4/9/2025;07:00;RETENCION CABLE;0
4/9/2025;07:30;RETENCION CABLE;0
4/9/2025;08:00;RETENCION CABLE;9
4/9/2025;08:30;RETENCION CABLE;17
4/9/2025;09:00;RETENCION CABLE;13
4/9/2025;09:30;RETENCION CABLE;13
4/9/2025;10:00;RETENCION CABLE;13
4/9/2025;10:30;RETENCION CABLE;13
4/9/2025;11:00;RETENCION CABLE;13
4/9/2025;11:30;RETENCION CABLE;13
4/9/2025;12:00;RETENCION CABLE;13
4/9/2025;12:30;RETENCION CABLE;13
4/9/2025;13:00;RETENCION CABLE;13
4/9/2025;13:30;RETENCION CABLE;13
4/9/2025;14:00;RETENCION CABLE;8
4/9/2025;14:30;RETENCION CABLE;8
4/9/2025;15:00;RETENCION CABLE;3
4/9/2025;15:30;RETENCION CABLE;3
4/9/2025;16:00;RETENCION CABLE;3
4/9/2025;16:30;RETENCION CABLE;4
4/9/2025;17:00;RETENCION CABLE;4
4/9/2025;17:30;RETENCION CABLE;4
4/9/2025;18:00;RETENCION CABLE;4
4/9/2025;18:30;RETENCION CABLE;4
4/9/2025;19:00;RETENCION CABLE;3
4/9/2025;19:30;RETENCION CABLE;3
4/9/2025;20:00;RETENCION CABLE;4
4/9/2025;20:30;RETENCION CABLE;3
4/9/2025;21:00;RETENCION CABLE;14
4/9/2025;21:30;RETENCION CABLE;14
4/9/2025;22:00;RETENCION CABLE;0
4/9/2025;22:30;RETENCION CABLE;0
4/9/2025;23:00;RETENCION CABLE;0
4/9/2025;23:30;RETENCION CABLE;0
5/9/2025;00:00;RETENCION CABLE;0
5/9/2025;00:30;RETENCION CABLE;0
5/9/2025;01:00;RETENCION CABLE;0
5/9/2025;01:30;RETENCION CABLE;0
5/9/2025;02:00;RETENCION CABLE;0
5/9/2025;02:30;RETENCION CABLE;0
5/9/2025;03:00;RETENCION CABLE;0
5/9/2025;03:30;RETENCION CABLE;0
5/9/2025;04:00;RETENCION CABLE;0
5/9/2025;04:30;RETENCION CABLE;0
5/9/2025;05:00;RETENCION CABLE;0
5/9/2025;05:30;RETENCION CABLE;0
5/9/2025;06:00;RETENCION CABLE;0
5/9/2025;06:30;RETENCION CABLE;0
5/9/2025;07:00;RETENCION CABLE;0
5/9/2025;07:30;RETENCION CABLE;0
5/9/2025;08:00;RETENCION CABLE;1
5/9/2025;08:30;RETENCION CABLE;7
5/9/2025;09:00;RETENCION CABLE;7
5/9/2025;09:30;RETENCION CABLE;7
5/9/2025;10:00;RETENCION CABLE;7
5/9/2025;10:30;RETENCION CABLE;7
5/9/2025;11:00;RETENCION CABLE;7
5/9/2025;11:30;RETENCION CABLE;7
5/9/2025;12:00;RETENCION CABLE;7
5/9/2025;12:30;RETENCION CABLE;7
5/9/2025;13:00;RETENCION CABLE;7
5/9/2025;13:30;RETENCION CABLE;7
5/9/2025;14:00;RETENCION CABLE;5
5/9/2025;14:30;RETENCION CABLE;5
5/9/2025;15:00;RETENCION CABLE;1
5/9/2025;15:30;RETENCION CABLE;1
5/9/2025;16:00;RETENCION CABLE;2
5/9/2025;16:30;RETENCION CABLE;2
5/9/2025;17:00;RETENCION CABLE;2
5/9/2025;17:30;RETENCION CABLE;2
5/9/2025;18:00;RETENCION CABLE;2
5/9/2025;18:30;RETENCION CABLE;2
5/9/2025;19:00;RETENCION CABLE;2
5/9/2025;19:30;RETENCION CABLE;2
5/9/2025;20:00;RETENCION CABLE;3
5/9/2025;20:30;RETENCION CABLE;2
5/9/2025;21:00;RETENCION CABLE;11
5/9/2025;21:30;RETENCION CABLE;11
5/9/2025;22:00;RETENCION CABLE;0
5/9/2025;22:30;RETENCION CABLE;0
5/9/2025;23:00;RETENCION CABLE;0
5/9/2025;23:30;RETENCION CABLE;0
6/9/2025;00:00;RETENCION CABLE;0
6/9/2025;00:30;RETENCION CABLE;0
6/9/2025;01:00;RETENCION CABLE;0
6/9/2025;01:30;RETENCION CABLE;0
6/9/2025;02:00;RETENCION CABLE;0
6/9/2025;02:30;RETENCION CABLE;0
6/9/2025;03:00;RETENCION CABLE;0
6/9/2025;03:30;RETENCION CABLE;0
6/9/2025;04:00;RETENCION CABLE;0
6/9/2025;04:30;RETENCION CABLE;0
6/9/2025;05:00;RETENCION CABLE;0
6/9/2025;05:30;RETENCION CABLE;0
6/9/2025;06:00;RETENCION CABLE;0
6/9/2025;06:30;RETENCION CABLE;0
6/9/2025;07:00;RETENCION CABLE;0
6/9/2025;07:30;RETENCION CABLE;0
6/9/2025;08:00;RETENCION CABLE;3
6/9/2025;08:30;RETENCION CABLE;3
6/9/2025;09:00;RETENCION CABLE;4
6/9/2025;09:30;RETENCION CABLE;4
6/9/2025;10:00;RETENCION CABLE;4
6/9/2025;10:30;RETENCION CABLE;4
6/9/2025;11:00;RETENCION CABLE;4
6/9/2025;11:30;RETENCION CABLE;4
6/9/2025;12:00;RETENCION CABLE;4
6/9/2025;12:30;RETENCION CABLE;4
6/9/2025;13:00;RETENCION CABLE;4
6/9/2025;13:30;RETENCION CABLE;4
6/9/2025;14:00;RETENCION CABLE;2
6/9/2025;14:30;RETENCION CABLE;2
6/9/2025;15:00;RETENCION CABLE;1
6/9/2025;15:30;RETENCION CABLE;1
6/9/2025;16:00;RETENCION CABLE;2
6/9/2025;16:30;RETENCION CABLE;2
6/9/2025;17:00;RETENCION CABLE;2
6/9/2025;17:30;RETENCION CABLE;2
6/9/2025;18:00;RETENCION CABLE;2
6/9/2025;18:30;RETENCION CABLE;2
6/9/2025;19:00;RETENCION CABLE;2
6/9/2025;19:30;RETENCION CABLE;2
6/9/2025;20:00;RETENCION CABLE;2
6/9/2025;20:30;RETENCION CABLE;2
6/9/2025;21:00;RETENCION CABLE;0
6/9/2025;21:30;RETENCION CABLE;0
6/9/2025;22:00;RETENCION CABLE;0
6/9/2025;22:30;RETENCION CABLE;0
6/9/2025;23:00;RETENCION CABLE;0
6/9/2025;23:30;RETENCION CABLE;0
7/9/2025;00:00;RETENCION CABLE;0
7/9/2025;00:30;RETENCION CABLE;0
7/9/2025;01:00;RETENCION CABLE;0
7/9/2025;01:30;RETENCION CABLE;0
7/9/2025;02:00;RETENCION CABLE;0
7/9/2025;02:30;RETENCION CABLE;0
7/9/2025;03:00;RETENCION CABLE;0
7/9/2025;03:30;RETENCION CABLE;0
7/9/2025;04:00;RETENCION CABLE;0
7/9/2025;04:30;RETENCION CABLE;0
7/9/2025;05:00;RETENCION CABLE;0
7/9/2025;05:30;RETENCION CABLE;0
7/9/2025;06:00;RETENCION CABLE;0
7/9/2025;06:30;RETENCION CABLE;0
7/9/2025;07:00;RETENCION CABLE;0
7/9/2025;07:30;RETENCION CABLE;0
7/9/2025;08:00;RETENCION CABLE;3
7/9/2025;08:30;RETENCION CABLE;3
7/9/2025;09:00;RETENCION CABLE;6
7/9/2025;09:30;RETENCION CABLE;6
7/9/2025;10:00;RETENCION CABLE;6
7/9/2025;10:30;RETENCION CABLE;6
7/9/2025;11:00;RETENCION CABLE;6
7/9/2025;11:30;RETENCION CABLE;6
7/9/2025;12:00;RETENCION CABLE;6
7/9/2025;12:30;RETENCION CABLE;6
7/9/2025;13:00;RETENCION CABLE;6
7/9/2025;13:30;RETENCION CABLE;6
7/9/2025;14:00;RETENCION CABLE;4
7/9/2025;14:30;RETENCION CABLE;4
7/9/2025;15:00;RETENCION CABLE;1
7/9/2025;15:30;RETENCION CABLE;1
7/9/2025;16:00;RETENCION CABLE;2
7/9/2025;16:30;RETENCION CABLE;2
7/9/2025;17:00;RETENCION CABLE;2
7/9/2025;17:30;RETENCION CABLE;2
7/9/2025;18:00;RETENCION CABLE;2
7/9/2025;18:30;RETENCION CABLE;2
7/9/2025;19:00;RETENCION CABLE;2
7/9/2025;19:30;RETENCION CABLE;2
7/9/2025;20:00;RETENCION CABLE;2
7/9/2025;20:30;RETENCION CABLE;2
7/9/2025;21:00;RETENCION CABLE;0
7/9/2025;21:30;RETENCION CABLE;0
7/9/2025;22:00;RETENCION CABLE;0
7/9/2025;22:30;RETENCION CABLE;0
7/9/2025;23:00;RETENCION CABLE;0
7/9/2025;23:30;RETENCION CABLE;0
8/9/2025;00:00;RETENCION CABLE;0
8/9/2025;00:30;RETENCION CABLE;0
8/9/2025;01:00;RETENCION CABLE;0
8/9/2025;01:30;RETENCION CABLE;0
8/9/2025;02:00;RETENCION CABLE;0
8/9/2025;02:30;RETENCION CABLE;0
8/9/2025;03:00;RETENCION CABLE;0
8/9/2025;03:30;RETENCION CABLE;0
8/9/2025;04:00;RETENCION CABLE;0
8/9/2025;04:30;RETENCION CABLE;0
8/9/2025;05:00;RETENCION CABLE;0
8/9/2025;05:30;RETENCION CABLE;0
8/9/2025;06:00;RETENCION CABLE;0
8/9/2025;06:30;RETENCION CABLE;0
8/9/2025;07:00;RETENCION CABLE;0
8/9/2025;07:30;RETENCION CABLE;0
8/9/2025;08:00;RETENCION CABLE;9
8/9/2025;08:30;RETENCION CABLE;17
8/9/2025;09:00;RETENCION CABLE;12
8/9/2025;09:30;RETENCION CABLE;12
8/9/2025;10:00;RETENCION CABLE;12
8/9/2025;10:30;RETENCION CABLE;12
8/9/2025;11:00;RETENCION CABLE;12
8/9/2025;11:30;RETENCION CABLE;12
8/9/2025;12:00;RETENCION CABLE;12
8/9/2025;12:30;RETENCION CABLE;12
8/9/2025;13:00;RETENCION CABLE;12
8/9/2025;13:30;RETENCION CABLE;12
8/9/2025;14:00;RETENCION CABLE;4
8/9/2025;14:30;RETENCION CABLE;5
8/9/2025;15:00;RETENCION CABLE;5
8/9/2025;15:30;RETENCION CABLE;5
8/9/2025;16:00;RETENCION CABLE;6
8/9/2025;16:30;RETENCION CABLE;6
8/9/2025;17:00;RETENCION CABLE;6
8/9/2025;17:30;RETENCION CABLE;6
8/9/2025;18:00;RETENCION CABLE;6
8/9/2025;18:30;RETENCION CABLE;6
8/9/2025;19:00;RETENCION CABLE;5
8/9/2025;19:30;RETENCION CABLE;5
8/9/2025;20:00;RETENCION CABLE;6
8/9/2025;20:30;RETENCION CABLE;6
8/9/2025;21:00;RETENCION CABLE;14
8/9/2025;21:30;RETENCION CABLE;14
8/9/2025;22:00;RETENCION CABLE;0
8/9/2025;22:30;RETENCION CABLE;0
8/9/2025;23:00;RETENCION CABLE;0
8/9/2025;23:30;RETENCION CABLE;0
9/9/2025;00:00;RETENCION CABLE;0
9/9/2025;00:30;RETENCION CABLE;0
9/9/2025;01:00;RETENCION CABLE;0
9/9/2025;01:30;RETENCION CABLE;0
9/9/2025;02:00;RETENCION CABLE;0
9/9/2025;02:30;RETENCION CABLE;0
9/9/2025;03:00;RETENCION CABLE;0
9/9/2025;03:30;RETENCION CABLE;0
9/9/2025;04:00;RETENCION CABLE;0
9/9/2025;04:30;RETENCION CABLE;0
9/9/2025;05:00;RETENCION CABLE;0
9/9/2025;05:30;RETENCION CABLE;0
9/9/2025;06:00;RETENCION CABLE;0
9/9/2025;06:30;RETENCION CABLE;0
9/9/2025;07:00;RETENCION CABLE;0
9/9/2025;07:30;RETENCION CABLE;0
9/9/2025;08:00;RETENCION CABLE;9
9/9/2025;08:30;RETENCION CABLE;17
9/9/2025;09:00;RETENCION CABLE;12
9/9/2025;09:30;RETENCION CABLE;12
9/9/2025;10:00;RETENCION CABLE;12
9/9/2025;10:30;RETENCION CABLE;12
9/9/2025;11:00;RETENCION CABLE;12
9/9/2025;11:30;RETENCION CABLE;12
9/9/2025;12:00;RETENCION CABLE;12
9/9/2025;12:30;RETENCION CABLE;12
9/9/2025;13:00;RETENCION CABLE;12
9/9/2025;13:30;RETENCION CABLE;12
9/9/2025;14:00;RETENCION CABLE;5
9/9/2025;14:30;RETENCION CABLE;5
9/9/2025;15:00;RETENCION CABLE;5
9/9/2025;15:30;RETENCION CABLE;5
9/9/2025;16:00;RETENCION CABLE;4
9/9/2025;16:30;RETENCION CABLE;4
9/9/2025;17:00;RETENCION CABLE;4
9/9/2025;17:30;RETENCION CABLE;4
9/9/2025;18:00;RETENCION CABLE;4
9/9/2025;18:30;RETENCION CABLE;4
9/9/2025;19:00;RETENCION CABLE;4
9/9/2025;19:30;RETENCION CABLE;4
9/9/2025;20:00;RETENCION CABLE;5
9/9/2025;20:30;RETENCION CABLE;4
9/9/2025;21:00;RETENCION CABLE;16
9/9/2025;21:30;RETENCION CABLE;16
9/9/2025;22:00;RETENCION CABLE;0
9/9/2025;22:30;RETENCION CABLE;0
9/9/2025;23:00;RETENCION CABLE;0
9/9/2025;23:30;RETENCION CABLE;0
10/9/2025;00:00;RETENCION CABLE;0
10/9/2025;00:30;RETENCION CABLE;0
10/9/2025;01:00;RETENCION CABLE;0
10/9/2025;01:30;RETENCION CABLE;0
10/9/2025;02:00;RETENCION CABLE;0
10/9/2025;02:30;RETENCION CABLE;0
10/9/2025;03:00;RETENCION CABLE;0
10/9/2025;03:30;RETENCION CABLE;0
10/9/2025;04:00;RETENCION CABLE;0
10/9/2025;04:30;RETENCION CABLE;0
10/9/2025;05:00;RETENCION CABLE;0
10/9/2025;05:30;RETENCION CABLE;0
10/9/2025;06:00;RETENCION CABLE;0
10/9/2025;06:30;RETENCION CABLE;0
10/9/2025;07:00;RETENCION CABLE;0
10/9/2025;07:30;RETENCION CABLE;0
10/9/2025;08:00;RETENCION CABLE;9
10/9/2025;08:30;RETENCION CABLE;18
10/9/2025;09:00;RETENCION CABLE;10
10/9/2025;09:30;RETENCION CABLE;11
10/9/2025;10:00;RETENCION CABLE;11
10/9/2025;10:30;RETENCION CABLE;11
10/9/2025;11:00;RETENCION CABLE;11
10/9/2025;11:30;RETENCION CABLE;11
10/9/2025;12:00;RETENCION CABLE;11
10/9/2025;12:30;RETENCION CABLE;11
10/9/2025;13:00;RETENCION CABLE;11
10/9/2025;13:30;RETENCION CABLE;11
10/9/2025;14:00;RETENCION CABLE;6
10/9/2025;14:30;RETENCION CABLE;8
10/9/2025;15:00;RETENCION CABLE;2
10/9/2025;15:30;RETENCION CABLE;3
10/9/2025;16:00;RETENCION CABLE;5
10/9/2025;16:30;RETENCION CABLE;5
10/9/2025;17:00;RETENCION CABLE;5
10/9/2025;17:30;RETENCION CABLE;5
10/9/2025;18:00;RETENCION CABLE;5
10/9/2025;18:30;RETENCION CABLE;5
10/9/2025;19:00;RETENCION CABLE;5
10/9/2025;19:30;RETENCION CABLE;5
10/9/2025;20:00;RETENCION CABLE;6
10/9/2025;20:30;RETENCION CABLE;5
10/9/2025;21:00;RETENCION CABLE;17
10/9/2025;21:30;RETENCION CABLE;17
10/9/2025;22:00;RETENCION CABLE;0
10/9/2025;22:30;RETENCION CABLE;0
10/9/2025;23:00;RETENCION CABLE;0
10/9/2025;23:30;RETENCION CABLE;0
11/9/2025;00:00;RETENCION CABLE;0
11/9/2025;00:30;RETENCION CABLE;0
11/9/2025;01:00;RETENCION CABLE;0
11/9/2025;01:30;RETENCION CABLE;0
11/9/2025;02:00;RETENCION CABLE;0
11/9/2025;02:30;RETENCION CABLE;0
11/9/2025;03:00;RETENCION CABLE;0
11/9/2025;03:30;RETENCION CABLE;0
11/9/2025;04:00;RETENCION CABLE;0
11/9/2025;04:30;RETENCION CABLE;0
11/9/2025;05:00;RETENCION CABLE;0
11/9/2025;05:30;RETENCION CABLE;0
11/9/2025;06:00;RETENCION CABLE;0
11/9/2025;06:30;RETENCION CABLE;0
11/9/2025;07:00;RETENCION CABLE;0
11/9/2025;07:30;RETENCION CABLE;0
11/9/2025;08:00;RETENCION CABLE;9
11/9/2025;08:30;RETENCION CABLE;17
11/9/2025;09:00;RETENCION CABLE;13
11/9/2025;09:30;RETENCION CABLE;13
11/9/2025;10:00;RETENCION CABLE;13
11/9/2025;10:30;RETENCION CABLE;13
11/9/2025;11:00;RETENCION CABLE;13
11/9/2025;11:30;RETENCION CABLE;13
11/9/2025;12:00;RETENCION CABLE;13
11/9/2025;12:30;RETENCION CABLE;13
11/9/2025;13:00;RETENCION CABLE;13
11/9/2025;13:30;RETENCION CABLE;13
11/9/2025;14:00;RETENCION CABLE;8
11/9/2025;14:30;RETENCION CABLE;8
11/9/2025;15:00;RETENCION CABLE;3
11/9/2025;15:30;RETENCION CABLE;3
11/9/2025;16:00;RETENCION CABLE;3
11/9/2025;16:30;RETENCION CABLE;4
11/9/2025;17:00;RETENCION CABLE;4
11/9/2025;17:30;RETENCION CABLE;4
11/9/2025;18:00;RETENCION CABLE;4
11/9/2025;18:30;RETENCION CABLE;4
11/9/2025;19:00;RETENCION CABLE;3
11/9/2025;19:30;RETENCION CABLE;3
11/9/2025;20:00;RETENCION CABLE;4
11/9/2025;20:30;RETENCION CABLE;3
11/9/2025;21:00;RETENCION CABLE;14
11/9/2025;21:30;RETENCION CABLE;14
11/9/2025;22:00;RETENCION CABLE;0
11/9/2025;22:30;RETENCION CABLE;0
11/9/2025;23:00;RETENCION CABLE;0
11/9/2025;23:30;RETENCION CABLE;0
12/9/2025;00:00;RETENCION CABLE;0
12/9/2025;00:30;RETENCION CABLE;0
12/9/2025;01:00;RETENCION CABLE;0
12/9/2025;01:30;RETENCION CABLE;0
12/9/2025;02:00;RETENCION CABLE;0
12/9/2025;02:30;RETENCION CABLE;0
12/9/2025;03:00;RETENCION CABLE;0
12/9/2025;03:30;RETENCION CABLE;0
12/9/2025;04:00;RETENCION CABLE;0
12/9/2025;04:30;RETENCION CABLE;0
12/9/2025;05:00;RETENCION CABLE;0
12/9/2025;05:30;RETENCION CABLE;0
12/9/2025;06:00;RETENCION CABLE;0
12/9/2025;06:30;RETENCION CABLE;0
12/9/2025;07:00;RETENCION CABLE;0
12/9/2025;07:30;RETENCION CABLE;0
12/9/2025;08:00;RETENCION CABLE;1
12/9/2025;08:30;RETENCION CABLE;7
12/9/2025;09:00;RETENCION CABLE;7
12/9/2025;09:30;RETENCION CABLE;7
12/9/2025;10:00;RETENCION CABLE;7
12/9/2025;10:30;RETENCION CABLE;7
12/9/2025;11:00;RETENCION CABLE;7
12/9/2025;11:30;RETENCION CABLE;7
12/9/2025;12:00;RETENCION CABLE;7
12/9/2025;12:30;RETENCION CABLE;7
12/9/2025;13:00;RETENCION CABLE;7
12/9/2025;13:30;RETENCION CABLE;7
12/9/2025;14:00;RETENCION CABLE;5
12/9/2025;14:30;RETENCION CABLE;5
12/9/2025;15:00;RETENCION CABLE;1
12/9/2025;15:30;RETENCION CABLE;1
12/9/2025;16:00;RETENCION CABLE;2
12/9/2025;16:30;RETENCION CABLE;2
12/9/2025;17:00;RETENCION CABLE;2
12/9/2025;17:30;RETENCION CABLE;2
12/9/2025;18:00;RETENCION CABLE;2
12/9/2025;18:30;RETENCION CABLE;2
12/9/2025;19:00;RETENCION CABLE;2
12/9/2025;19:30;RETENCION CABLE;2
12/9/2025;20:00;RETENCION CABLE;3
12/9/2025;20:30;RETENCION CABLE;2
12/9/2025;21:00;RETENCION CABLE;11
12/9/2025;21:30;RETENCION CABLE;11
12/9/2025;22:00;RETENCION CABLE;0
12/9/2025;22:30;RETENCION CABLE;0
12/9/2025;23:00;RETENCION CABLE;0
12/9/2025;23:30;RETENCION CABLE;0
13/9/2025;00:00;RETENCION CABLE;0
13/9/2025;00:30;RETENCION CABLE;0
13/9/2025;01:00;RETENCION CABLE;0
13/9/2025;01:30;RETENCION CABLE;0
13/9/2025;02:00;RETENCION CABLE;0
13/9/2025;02:30;RETENCION CABLE;0
13/9/2025;03:00;RETENCION CABLE;0
13/9/2025;03:30;RETENCION CABLE;0
13/9/2025;04:00;RETENCION CABLE;0
13/9/2025;04:30;RETENCION CABLE;0
13/9/2025;05:00;RETENCION CABLE;0
13/9/2025;05:30;RETENCION CABLE;0
13/9/2025;06:00;RETENCION CABLE;0
13/9/2025;06:30;RETENCION CABLE;0
13/9/2025;07:00;RETENCION CABLE;0
13/9/2025;07:30;RETENCION CABLE;0
13/9/2025;08:00;RETENCION CABLE;3
13/9/2025;08:30;RETENCION CABLE;3
13/9/2025;09:00;RETENCION CABLE;4
13/9/2025;09:30;RETENCION CABLE;4
13/9/2025;10:00;RETENCION CABLE;4
13/9/2025;10:30;RETENCION CABLE;4
13/9/2025;11:00;RETENCION CABLE;4
13/9/2025;11:30;RETENCION CABLE;4
13/9/2025;12:00;RETENCION CABLE;4
13/9/2025;12:30;RETENCION CABLE;4
13/9/2025;13:00;RETENCION CABLE;4
13/9/2025;13:30;RETENCION CABLE;4
13/9/2025;14:00;RETENCION CABLE;2
13/9/2025;14:30;RETENCION CABLE;2
